City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Lorain;Ohio;35.6;30844;32807;63651;4905;1531;2.52;OH;American Indian and Alaska Native;904
Fayetteville;North Carolina;30.7;101051;100914;201965;28089;12863;2.5;NC;American Indian and Alaska Native;6603
Bossier City;Louisiana;32.7;33428;34669;68097;8108;2980;2.4;LA;Asian;2175
Mesquite;Texas;34.6;69240;75884;145124;6438;26755;2.96;TX;White;98597
Louisville/Jefferson County metro government;Kentucky;37.5;298451;316938;615389;39364;37875;2.45;KY;White;456451
Pittsburg;California;34.5;33309;36118;69427;2109;21043;3.15;CA;Hispanic or Latino;28605
Sterling Heights;Michigan;39.6;64985;67077;132062;6970;34313;2.66;MI;Black or African-American;8054
Tustin;California;33.4;39511;41052;80563;2434;25034;3.27;CA;Black or African-American;2954
Johns Creek;Georgia;39.0;40282;43057;83339;1983;29000;3.19;GA;Hispanic or Latino;5924
Weston;Florida;38.6;32956;36991;69947;1507;30876;3.34;FL;Black or African-American;3697
Tuscaloosa;Alabama;29.1;47293;51045;98338;3647;4706;2.67;AL;Asian;2733
Roswell;Georgia;38.8;48637;45859;94496;3325;16501;2.7;GA;American Indian and Alaska Native;585
Temecula;California;34.2;54407;57619;112026;7587;18884;3.34;CA;Black or African-American;5698
Elk Grove;California;36.1;80057;86833;166890;7762;38693;3.34;CA;American Indian and Alaska Native;2020
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;Black or African-American;3091
Antioch;California;34.0;54733;55809;110542;5681;24942;3.31;CA;White;51151
San Jose;California;36.5;518317;508602;1026919;27269;401493;3.13;CA;American Indian and Alaska Native;13776
Davie;Florida;40.8;48754;52140;100894;4655;26532;2.72;FL;Hispanic or Latino;35311
Torrance;California;41.2;73209;75259;148468;8459;43096;2.7;CA;Black or African-American;5906
Paradise;Nevada;37.2;122784;114162;236946;14112;66712;2.65;NV;Asian;28380
Pasadena;Texas;31.5;78827;74959;153786;5735;38072;2.95;TX;White;140240
Bethlehem;Pennsylvania;35.1;35861;38506;74367;4704;6295;2.46;PA;White;64526
Sandy Springs;Georgia;35.4;48570;56777;105347;3015;19837;2.4;GA;American Indian and Alaska Native;1574
Chicago;Illinois;34.2;1320015;1400541;2720556;72042;573463;2.53;IL;Hispanic or Latino;785725
Hawthorne;California;33.7;43682;44762;88444;2123;32107;2.97;CA;American Indian and Alaska Native;906
New Braunfels;Texas;37.0;33071;36852;69923;5204;5405;2.85;TX;Hispanic or Latino;22522
Greenville;North Carolina;26.2;39897;50691;90588;4283;4183;2.4;NC;White;50289
Greensboro;North Carolina;35.5;132251;153093;285344;14011;26667;2.36;NC;Hispanic or Latino;22147
Milwaukee;Wisconsin;31.6;286315;313839;600154;20615;58321;2.51;WI;Hispanic or Latino;110335
Norfolk;Virginia;30.2;128917;117476;246393;29445;16702;2.51;VA;Black or African-American;107893
Dearborn;Michigan;33.5;46482;48698;95180;3163;23920;3.04;MI;White;88742
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;American Indian and Alaska Native;767
Gastonia;North Carolina;36.9;35527;39023;74550;3537;5715;2.67;NC;American Indian and Alaska Native;603
Charleston;South Carolina;35.0;63956;71568;135524;9368;5767;2.4;SC;Asian;2773
Sparks;Nevada;36.1;47780;48318;96098;7315;15690;2.63;NV;Asian;7915
Pasadena;California;37.6;67712;74534;142246;4618;40779;2.63;CA;American Indian and Alaska Native;2161
Syracuse;New York;30.3;69462;74690;144152;5845;17733;2.39;NY;Asian;9386
West Palm Beach;Florida;39.6;49262;57520;106782;4917;30675;2.53;FL;Hispanic or Latino;26132
Madison;Wisconsin;30.7;122596;126360;248956;9707;30090;2.23;WI;Asian;23937
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;Asian;5271
Homestead;Florida;31.4;31401;35099;66500;2287;24408;3.48;FL;Black or African-American;16705
Glen Burnie;Maryland;36.5;33398;36461;69859;5298;6971;2.58;MD;Black or African-American;17010
Scottsdale;Arizona;46.9;115712;121132;236844;16798;27207;2.17;AZ;Asian;11555
New Haven;Connecticut;29.9;63765;66545;130310;2567;25871;2.48;CT;Black or African-American;43356
Bend;Oregon;37.3;42294;44723;87017;6199;3032;2.39;OR;White;83689
Saint George;Utah;37.3;38732;41475;80207;4443;4824;2.81;UT;Hispanic or Latino;10829
North Charleston;South Carolina;30.7;56549;55315;111864;9651;8789;2.82;SC;Asian;4181
Lafayette;Louisiana;31.7;64018;63643;127661;5206;5396;2.54;LA;Black or African-American;39862
Fishers;Indiana;34.5;42161;43910;86071;2469;6138;2.8;IN;Hispanic or Latino;3409
Chandler;Arizona;35.6;128885;131948;260833;15870;38721;2.78;AZ;Asian;33079
Augusta-Richmond County consolidated government;Georgia;33.7;94662;101917;196579;19085;7915;2.67;GA;White;77940
Waldorf;Maryland;33.6;35640;39872;75512;6932;5954;2.69;MD;Hispanic or Latino;4810
Irvine;California;34.6;125411;131516;256927;5532;116366;2.73;CA;American Indian and Alaska Native;799
Raleigh;North Carolina;32.8;219184;232765;451949;16747;65125;2.42;NC;Asian;24865
Anchorage;Alaska;32.2;152945;145750;298695;27492;33258;2.77;AK;Hispanic or Latino;27261
Boston;Massachusetts;31.8;322149;347320;669469;18350;190123;2.38;MA;White;378543
Boston;Massachusetts;31.8;322149;347320;669469;18350;190123;2.38;MA;Asian;69976
San Diego;California;34.5;693826;701081;1394907;92489;373842;2.73;CA;White;949388
Pittsburg;California;34.5;33309;36118;69427;2109;21043;3.15;CA;American Indian and Alaska Native;2253
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;American Indian and Alaska Native;544
Des Moines;Iowa;34.5;103726;106591;210317;11780;23857;2.41;IA;Black or African-American;26353
Arlington Heights;Illinois;45.9;37627;39369;76996;3027;14630;2.38;IL;Black or African-American;1222
Hammond;Indiana;36.0;38923;38687;77610;4144;9224;2.61;IN;Black or African-American;20442
Charlotte;North Carolina;34.3;396646;430475;827121;36046;128897;2.52;NC;Hispanic or Latino;113731
Reno;Nevada;35.7;122292;119151;241443;17089;37070;2.46;NV;American Indian and Alaska Native;3872
Corpus Christi;Texas;35.0;160488;163594;324082;25078;30834;2.69;TX;Black or African-American;14978
Centreville;Virginia;36.0;34749;37033;71782;3779;27797;2.97;VA;Asian;25058
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;White;56626
Redwood City;California;37.1;42676;42624;85300;2430;27652;2.64;CA;Hispanic or Latino;29011
Pleasanton;California;41.3;36662;42857;79519;2424;23208;2.87;CA;Black or African-American;1919
Topeka;Kansas;37.1;60879;66378;127257;9608;6711;2.32;KS;Hispanic or Latino;18640
Santa Monica;California;40.6;46732;46487;93219;2008;24448;2.0;CA;White;70365
Waterbury;Connecticut;36.2;52235;56572;108807;3493;19967;2.71;CT;White;69075
Spokane;Washington;36.6;102756;110511;213267;18044;13253;2.34;WA;Black or African-American;10045
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.72;RI;Black or African-American;30638
Waterbury;Connecticut;36.2;52235;56572;108807;3493;19967;2.71;CT;Black or African-American;26972
Cedar Park;Texas;34.4;31248;33589;64837;3090;5207;3.05;TX;White;56991
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;American Indian and Alaska Native;1165
Carolina;Puerto Rico;42.0;64758;77308;142066;;;;PR;American Indian and Alaska Native;12143
Dearborn;Michigan;33.5;46482;48698;95180;3163;23920;3.04;MI;Black or African-American;3699
Westminster;Colorado;37.8;54866;58251;113117;6512;11361;2.63;CO;American Indian and Alaska Native;1444
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;White;92874
Kendall;Florida;40.2;36658;39808;76466;1678;31180;2.81;FL;Black or African-American;2937
Ogden;Utah;31.3;44323;41127;85450;5080;12791;2.68;UT;Black or African-American;2620
West Jordan;Utah;30.8;57898;54044;111942;3577;11492;3.46;UT;Hispanic or Latino;21315
Palatine;Illinois;38.0;36506;32763;69269;2629;21760;2.69;IL;Black or African-American;1822
Savannah;Georgia;30.3;69389;76295;145684;9717;10355;2.57;GA;American Indian and Alaska Native;2116
Sioux City;Iowa;34.3;38827;43949;82776;4093;7471;2.57;IA;Black or African-American;3994
San Angelo;Texas;32.8;49669;50744;100413;8412;7859;2.5;TX;Asian;1658
Santa Ana;California;30.8;167503;167920;335423;4735;152999;4.58;CA;Hispanic or Latino;262436
Chino Hills;California;41.9;39639;38674;78313;3358;24764;3.05;CA;Asian;28132
Provo;Utah;23.6;56231;59027;115258;2177;10925;3.28;UT;Asian;4104
Trenton;New Jersey;33.3;42581;41650;84231;2604;20428;3.04;NJ;Hispanic or Latino;30613
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;Hispanic or Latino;34716
North Richland Hills;Texas;39.9;35257;33948;69205;5175;7854;2.64;TX;White;58258
Cedar Park;Texas;34.4;31248;33589;64837;3090;5207;3.05;TX;Asian;5654
Lincoln;Nebraska;32.3;138544;138802;277346;14694;22958;2.4;NE;White;246677
Boise;Idaho;34.9;110099;108181;218280;16004;13409;2.61;ID;American Indian and Alaska Native;4046
Medford;Oregon;38.6;39606;40189;79795;6632;6185;2.65;OR;Hispanic or Latino;14294
Escondido;California;33.3;76551;74907;151458;8110;46298;3.27;CA;Asian;14398
Passaic;New Jersey;30.4;36505;34577;71082;693;24174;3.56;NJ;Hispanic or Latino;53680
Whittier;California;36.1;44397;43039;87436;2790;17145;3.11;CA;Asian;3503
Marysville;Washington;33.2;33436;33337;66773;5714;7721;2.79;WA;Hispanic or Latino;7142
Bloomington;Illinois;35.1;37972;40323;78295;3888;7287;2.34;IL;White;60652
North Richland Hills;Texas;39.9;35257;33948;69205;5175;7854;2.64;TX;Asian;5295
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;Hispanic or Latino;2566
Carmel;Indiana;39.9;42928;46101;89029;2723;9645;2.71;IN;Asian;11223
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;Black or African-American;256764
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;Black or African-American;27434
Baltimore;Maryland;34.7;294027;327822;621849;29540;49857;2.51;MD;Hispanic or Latino;29953
Stamford;Connecticut;35.4;64941;63936;128877;2269;44003;2.7;CT;Black or African-American;24329
Deltona;Florida;39.9;44853;43621;88474;5664;7098;2.89;FL;Hispanic or Latino;31357
Florence-Graham;California;30.2;34186;32173;66359;416;28696;4.57;CA;Black or African-American;5060
Clifton;New Jersey;38.5;41932;44409;86341;2603;27979;3.11;NJ;Hispanic or Latino;33176
Kissimmee;Florida;36.7;33283;35869;69152;2449;16879;3.01;FL;Hispanic or Latino;44120
Centreville;Virginia;36.0;34749;37033;71782;3779;27797;2.97;VA;Black or African-American;6724
Bay;Texas;32.9;37977;37508;75485;3478;13192;2.59;TX;Hispanic or Latino;31672
Springfield;Massachusetts;31.8;74744;79592;154336;5723;16226;2.81;MA;American Indian and Alaska Native;2087
Deerfield Beach;Florida;41.4;37155;42614;79769;3882;23642;2.46;FL;Asian;1428
Menifee;California;37.1;42866;44297;87163;6821;12481;3.06;CA;Black or African-American;7773
Union City;New Jersey;35.4;35376;33773;69149;705;40553;2.85;NJ;Black or African-American;4686
Buena Park;California;35.7;41593;41671;83264;3116;28430;3.55;CA;American Indian and Alaska Native;361
Bloomington;Illinois;35.1;37972;40323;78295;3888;7287;2.34;IL;Black or African-American;11240
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;Black or African-American;16986
San Clemente;California;45.2;34076;31456;65532;3970;8109;2.64;CA;Black or African-American;251
Arlington;Virginia;34.4;113981;115183;229164;12719;55205;2.19;VA;American Indian and Alaska Native;845
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.72;RI;Asian;13432
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;Hispanic or Latino;37151
Franklin;Tennessee;38.3;34991;37644;72635;3303;6876;2.73;TN;Asian;3911
Fayetteville;Arkansas;27.1;41959;40873;82832;4744;6313;2.28;AR;White;68830
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;American Indian and Alaska Native;1551
Bend;Oregon;37.3;42294;44723;87017;6199;3032;2.39;OR;Hispanic or Latino;8173
Union City;California;38.5;38599;35911;74510;1440;32752;3.46;CA;White;16845
Lafayette;Louisiana;31.7;64018;63643;127661;5206;5396;2.54;LA;Asian;2776
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;Black or African-American;2307
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;Asian;6626
Chino Hills;California;41.9;39639;38674;78313;3358;24764;3.05;CA;White;40030
Oceanside;California;39.4;87482;88232;175714;18051;37492;2.72;CA;Asian;20882
Bayonne;New Jersey;39.7;32705;33598;66303;2225;21899;2.62;NJ;Asian;7171
Long Beach;California;34.6;238159;236013;474172;17463;127764;2.78;CA;American Indian and Alaska Native;12841
Plymouth;Minnesota;38.4;39035;36893;75928;4158;8830;2.46;MN;Black or African-American;6938
Lakewood;Colorado;37.7;76013;76576;152589;9988;14169;2.29;CO;Black or African-American;2679
Springfield;Massachusetts;31.8;74744;79592;154336;5723;16226;2.81;MA;Black or African-American;35284
Aurora;Illinois;31.7;101964;101751;203715;4988;50980;3.3;IL;American Indian and Alaska Native;1179
Santa Barbara;California;37.8;45068;46784;91852;4518;19441;2.51;CA;White;73659
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;American Indian and Alaska Native;4520
Charlotte;North Carolina;34.3;396646;430475;827121;36046;128897;2.52;NC;Black or African-American;301568
Yuba City;California;34.5;33654;33290;66944;4706;18032;2.9;CA;Hispanic or Latino;20890
Fall River;Massachusetts;39.3;43314;45456;88770;4143;14775;2.21;MA;Asian;1891
Abilene;Texas;31.3;65212;60664;125876;9367;8129;2.64;TX;Hispanic or Latino;33222
Fort Wayne;Indiana;34.7;124815;133329;258144;13539;19146;2.45;IN;Black or African-American;46319
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;Hispanic or Latino;2738
Centreville;Virginia;36.0;34749;37033;71782;3779;27797;2.97;VA;Hispanic or Latino;9613
Santa Ana;California;30.8;167503;167920;335423;4735;152999;4.58;CA;Black or African-American;5813
Saint Paul;Minnesota;31.5;149547;151293;300840;10548;56514;2.58;MN;Asian;58174
Buena Park;California;35.7;41593;41671;83264;3116;28430;3.55;CA;Hispanic or Latino;32915
Bloomington;Indiana;23.5;40588;43227;83815;2368;10033;2.33;IN;Hispanic or Latino;3643
Murfreesboro;Tennessee;30.2;60704;65417;126121;5199;8948;2.6;TN;Hispanic or Latino;8840
Skokie;Illinois;43.4;31382;33437;64819;1066;27424;2.78;IL;Asian;20272
Independence;Missouri;38.6;54348;62907;117255;10220;4911;2.33;MO;White;98940
South Gate;California;32.5;47758;48641;96399;724;40571;3.97;CA;Black or African-American;1615
Missouri City;Texas;37.2;34932;36846;71778;4274;18556;3.03;TX;White;20590
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;Asian;2646
Costa Mesa;California;34.8;59097;54089;113186;4095;26645;2.59;CA;Asian;9165
West Covina;California;39.8;51629;56860;108489;3800;37038;3.56;CA;White;48046
Kansas City;Kansas;33.4;74606;76655;151261;8139;25507;2.71;KS;Black or African-American;40177
Sunrise;Florida;37.7;41471;51235;92706;4108;38209;2.98;FL;Black or African-American;33951
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;Black or African-American;25327
Hawthorne;California;33.7;43682;44762;88444;2123;32107;2.97;CA;Hispanic or Latino;50115
Columbia;Maryland;37.9;52202;51265;103467;6526;23249;2.68;MD;Asian;17821
Mission Viejo;California;44.9;48849;48314;97163;4713;17308;2.85;CA;Hispanic or Latino;18913
Boca Raton;Florida;47.3;44760;48466;93226;4367;21117;2.22;FL;Asian;2494
Orem;Utah;26.1;48695;45762;94457;2828;12808;3.26;UT;White;85512
Roseville;California;38.4;62591;67691;130282;8386;18161;2.72;CA;White;103853
Overland Park;Kansas;38.2;93355;93156;186511;10461;21407;2.41;KS;Black or African-American;10685
Norman;Oklahoma;30.9;59483;60814;120297;5578;8705;2.47;OK;White;106409
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;Hispanic or Latino;9795
Olathe;Kansas;33.0;65046;69270;134316;6042;11913;2.97;KS;Asian;6288
Erie;Pennsylvania;35.3;48618;50852;99470;7093;6275;2.31;PA;American Indian and Alaska Native;913
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;Hispanic or Latino;271854
Kansas City;Missouri;35.9;228430;246931;475361;24710;37787;2.35;MO;Hispanic or Latino;46037
Mountain View;California;33.5;42493;37945;80438;1376;31857;2.46;CA;American Indian and Alaska Native;577
The Villages;Florida;70.5;;;72590;15231;4034;;FL;White;72211
North Little Rock;Arkansas;33.6;31671;34835;66506;4130;2787;2.62;AR;White;34118
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;Black or African-American;11671
Edmond;Oklahoma;32.5;45191;44899;90090;5006;5585;2.68;OK;Hispanic or Latino;6187
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;Asian;22619
Lakewood;California;39.9;41523;40069;81592;4094;18274;3.13;CA;American Indian and Alaska Native;398
Sunrise;Florida;37.7;41471;51235;92706;4108;38209;2.98;FL;Asian;3501
McKinney;Texas;35.6;77339;85548;162887;8082;25760;2.91;TX;White;129192
Miramar;Florida;36.6;66157;70958;137115;3077;57179;3.41;FL;Asian;12084
Carrollton;Texas;36.9;66928;66218;133146;5720;35327;2.78;TX;Hispanic or Latino;46850
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;Black or African-American;61561
Sandy;Utah;34.6;46923;46689;93612;3451;6691;3.22;UT;White;85130
Medford;Oregon;38.6;39606;40189;79795;6632;6185;2.65;OR;Asian;2135
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;Hispanic or Latino;47154
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;Black or African-American;35550
Odessa;Texas;31.2;61119;57861;118980;5509;15845;2.92;TX;Black or African-American;7647
Richardson;Texas;35.5;54676;56151;110827;4797;29579;2.83;TX;White;76116
Nampa;Idaho;31.4;45651;44199;89850;4736;6607;2.98;ID;White;80776
Tempe;Arizona;28.8;91350;84476;175826;7058;26620;2.44;AZ;Black or African-American;11293
Arvada;Colorado;41.0;54870;60165;115035;8930;4921;2.49;CO;Hispanic or Latino;16419
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;Hispanic or Latino;39271
Tempe;Arizona;28.8;91350;84476;175826;7058;26620;2.44;AZ;Asian;17338
Spring Hill;Florida;45.1;48295;54902;103197;9737;7893;2.58;FL;Hispanic or Latino;15838
Farmington Hills;Michigan;42.1;37527;43805;81332;3650;18033;2.41;MI;American Indian and Alaska Native;313
Arlington;Texas;32.6;191060;197062;388122;17050;79271;2.89;TX;Asian;31804
Kenosha;Wisconsin;36.3;49349;50507;99856;6238;7443;2.55;WI;Asian;2537
Denton;Texas;28.7;62478;68569;131047;6352;18451;2.66;TX;Hispanic or Latino;29350
Edinburg;Texas;29.3;39422;45079;84501;2409;16569;3.31;TX;White;77560
Syracuse;New York;30.3;69462;74690;144152;5845;17733;2.39;NY;White;88679
Alafaya;Florida;33.5;39504;45760;85264;4176;15842;2.94;FL;Hispanic or Latino;34897
Gilbert;Arizona;33.2;116711;130812;247523;10817;24531;3.2;AZ;White;211322
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;Hispanic or Latino;9143
Jacksonville;Florida;35.7;419203;448828;868031;75432;85650;2.62;FL;White;543582
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;Asian;9550
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;White;81244
Urban Honolulu;Hawaii;41.4;176807;175959;352766;23213;101312;2.69;HI;Black or African-American;11781
Lancaster;California;30.9;80668;80445;161113;7892;17247;3.25;CA;Black or African-American;36007
Oceanside;California;39.4;87482;88232;175714;18051;37492;2.72;CA;Hispanic or Latino;62100
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;Asian;20082
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;White;90391
Orlando;Florida;33.1;130940;139977;270917;12782;50558;2.42;FL;Hispanic or Latino;89306
Fort Smith;Arkansas;34.9;43346;44849;88195;3408;13177;2.44;AR;Asian;6228
Compton;California;30.1;49264;49184;98448;897;30660;4.08;CA;American Indian and Alaska Native;298
Parma;Ohio;40.8;38425;41518;79943;5028;6909;2.42;OH;Asian;974
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;Hispanic or Latino;136214
Houston;Texas;32.6;1149686;1148942;2298628;71898;696210;2.66;TX;American Indian and Alaska Native;13157
Las Cruces;New Mexico;32.7;47835;53809;101644;9421;11888;2.58;NM;Hispanic or Latino;60614
Mission Viejo;California;44.9;48849;48314;97163;4713;17308;2.85;CA;White;81186
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;American Indian and Alaska Native;552
Carson;California;40.4;43790;49506;93296;4273;33860;3.7;CA;American Indian and Alaska Native;2119
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;Black or African-American;3985
Southfield;Michigan;41.6;31369;41808;73177;4035;4011;2.27;MI;Hispanic or Latino;573
Ann Arbor;Michigan;28.1;58789;58281;117070;3614;20717;2.17;MI;American Indian and Alaska Native;1935
Dale City;Virginia;33.4;35984;35415;71399;6085;22306;3.65;VA;Asian;9251
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;Black or African-American;3144
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;Black or African-American;2856
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;Black or African-American;13372
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;Asian;3153
Missouri City;Texas;37.2;34932;36846;71778;4274;18556;3.03;TX;Black or African-American;28070
Champaign;Illinois;28.7;43326;42760;86086;3734;12261;2.25;IL;Asian;11746
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;Asian;2170
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;American Indian and Alaska Native;351
Bayonne;New Jersey;39.7;32705;33598;66303;2225;21899;2.62;NJ;Hispanic or Latino;19525
Manchester;New Hampshire;37.3;54845;55378;110223;5473;14506;2.4;NH;American Indian and Alaska Native;558
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;White;17127
Kansas City;Missouri;35.9;228430;246931;475361;24710;37787;2.35;MO;Black or African-American;147739
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;Asian;4689
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;Asian;14281
Plano;Texas;38.1;138565;145054;283619;11719;74030;2.65;TX;White;195220
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;Black or African-American;14529
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;Hispanic or Latino;1488
Tyler;Texas;33.9;50422;53283;103705;4813;8225;2.59;TX;White;72728
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;White;121904
Framingham;Massachusetts;40.3;35442;35768;71210;2625;19070;2.49;MA;Asian;5993
Temecula;California;34.2;54407;57619;112026;7587;18884;3.34;CA;American Indian and Alaska Native;2236
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;Black or African-American;7762
North Little Rock;Arkansas;33.6;31671;34835;66506;4130;2787;2.62;AR;Black or African-American;30766
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;Hispanic or Latino;18733
Chicago;Illinois;34.2;1320015;1400541;2720556;72042;573463;2.53;IL;American Indian and Alaska Native;23323
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;Asian;4992
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;Black or African-American;15129
Lake Charles;Louisiana;31.8;35678;40388;76066;4477;3215;2.36;LA;Hispanic or Latino;3157
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;White;374900
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;American Indian and Alaska Native;1359
Frisco;Texas;37.2;73989;80399;154388;6297;30913;3.05;TX;Black or African-American;10821
Rockville;Maryland;38.1;31205;35793;66998;1990;25047;2.6;MD;American Indian and Alaska Native;594
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;White;65629
Fishers;Indiana;34.5;42161;43910;86071;2469;6138;2.8;IN;Asian;7571
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;Black or African-American;5401
Town 'n' Country;Florida;38.1;39410;39586;78996;4534;22135;2.61;FL;White;64441
Goodyear;Arizona;38.6;36711;42292;79003;7650;11774;2.97;AZ;Hispanic or Latino;21603
Bloomington;Indiana;23.5;40588;43227;83815;2368;10033;2.33;IN;White;71200
Alexandria;Virginia;36.6;74989;78522;153511;10635;44030;2.2;VA;Black or African-American;37168
Joliet;Illinois;33.1;70863;79162;150025;7353;22409;3.13;IL;White;106160
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;White;115419
Topeka;Kansas;37.1;60879;66378;127257;9608;6711;2.32;KS;American Indian and Alaska Native;4804
Anchorage;Alaska;32.2;152945;145750;298695;27492;33258;2.77;AK;American Indian and Alaska Native;36339
Johns Creek;Georgia;39.0;40282;43057;83339;1983;29000;3.19;GA;American Indian and Alaska Native;826
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;White;43004
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;Asian;33854
Lee's Summit;Missouri;36.8;48353;46715;95068;6624;3803;2.68;MO;Black or African-American;7100
Vacaville;California;35.8;50091;46703;96794;9064;10577;2.9;CA;Asian;9273
Santa Clarita;California;38.1;90192;92175;182367;8537;40666;3.02;CA;Black or African-American;9223
Saint Joseph;Missouri;35.7;37688;38408;76096;5846;3755;2.58;MO;Black or African-American;6964
Knoxville;Tennessee;33.1;89978;95334;185312;10897;10285;2.21;TN;Black or African-American;35049
Lawrence;Kansas;27.4;45592;48324;93916;2986;8701;2.53;KS;White;79793
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;American Indian and Alaska Native;5549
Jackson;Mississippi;31.7;79039;91772;170811;8146;1789;2.65;MS;White;28775
Tustin;California;33.4;39511;41052;80563;2434;25034;3.27;CA;Hispanic or Latino;33998
Hartford;Connecticut;31.0;58042;65972;124014;3130;28467;2.59;CT;American Indian and Alaska Native;2451
Brentwood;New York;34.2;31395;32397;63792;1492;27058;4.98;NY;Hispanic or Latino;40111
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;White;61869
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;Hispanic or Latino;25764
Lawton;Oklahoma;31.1;51099;45560;96659;11572;6123;2.72;OK;Hispanic or Latino;13780
Columbia;South Carolina;28.0;67686;65707;133393;5708;6074;2.32;SC;White;73232
Elgin;Illinois;35.7;54852;56224;111076;4024;30167;2.97;IL;Hispanic or Latino;48221
Rialto;California;31.6;49902;53235;103137;2036;32741;3.83;CA;White;74551
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;Hispanic or Latino;114054
Charleston;South Carolina;35.0;63956;71568;135524;9368;5767;2.4;SC;Black or African-American;29998
Rialto;California;31.6;49902;53235;103137;2036;32741;3.83;CA;Black or African-American;11800
